neighborhood,population,sex
Horta,561,2
Horta,640,1
Horta,517,2
Horta,723,1
Horta,590,2
Horta,748,1
Horta,672,2
Vilapicina i la Torre Llobeta,678,1
Vilapicina i la Torre Llobeta,581,2
Vilapicina i la Torre Llobeta,676,1
Vilapicina i la Torre Llobeta,575,2
Vilapicina i la Torre Llobeta,637,1
Vilapicina i la Torre Llobeta,559,2
Vilapicina i la Torre Llobeta,785,1
Vilapicina i la Torre Llobeta,636,2
Vilapicina i la Torre Llobeta,618,1
Vilapicina i la Torre Llobeta,536,2
Vilapicina i la Torre Llobeta,862,1
Vilapicina i la Torre Llobeta,755,2
Vilapicina i la Torre Llobeta,659,1
Vilapicina i la Torre Llobeta,531,2
Vilapicina i la Torre Llobeta,865,1
Vilapicina i la Torre Llobeta,757,2
Vilapicina i la Torre Llobeta,934,1
Vilapicina i la Torre Llobeta,859,2
Vilapicina i la Torre Llobeta,592,1
Vilapicina i la Torre Llobeta,495,2
Vilapicina i la Torre Llobeta,632,1
Vilapicina i la Torre Llobeta,545,2
Vilapicina i la Torre Llobeta,739,1
Vilapicina i la Torre Llobeta,578,2
Vilapicina i la Torre Llobeta,643,1
Vilapicina i la Torre Llobeta,524,2
Vilapicina i la Torre Llobeta,705,1
Vilapicina i la Torre Llobeta,593,2
Vilapicina i la Torre Llobeta,825,1
Vilapicina i la Torre Llobeta,641,2
Vilapicina i la Torre Llobeta,625,1
Vilapicina i la Torre Llobeta,508,2
Vilapicina i la Torre Llobeta,728,1
Vilapicina i la Torre Llobeta,655,2
Vilapicina i la Torre Llobeta,805,1
Vilapicina i la Torre Llobeta,708,2
Vilapicina i la Torre Llobeta,991,1
Vilapicina i la Torre Llobeta,840,2
Porta,739,1
Porta,651,2
Porta,787,1
Porta,678,2
Porta,671,1
Porta,581,2
Porta,749,1
Porta,645,2
Porta,741,1
Porta,621,2
Porta,666,1
Porta,523,2
Porta,744,1
Porta,640,2
Porta,709,1
Porta,699,2
Porta,602,1
Porta,494,2
Porta,801,1
Porta,700,2
Porta,786,1
Porta,716,2
Porta,695,1
Porta,603,2
Porta,698,1
Porta,594,2
Porta,784,1
Porta,703,2
Porta,712,1
Porta,534,2
Porta,2136,1
Porta,2299,2
Porta,831,1
Porta,703,2
Porta,880,1
Porta,681,2
el Turo de la Peira,851,1
el Turo de la Peira,717,2
el Turo de la Peira,818,1
el Turo de la Peira,746,2
el Turo de la Peira,1005,1
el Turo de la Peira,903,2
el Turo de la Peira,1353,1
el Turo de la Peira,1293,2
el Turo de la Peira,694,1
el Turo de la Peira,546,2
el Turo de la Peira,644,1
el Turo de la Peira,493,2
el Turo de la Peira,688,1
el Turo de la Peira,611,2
el Turo de la Peira,899,1
el Turo de la Peira,882,2
el Turo de la Peira,783,1
el Turo de la Peira,635,2
el Turo de la Peira,874,1
el Turo de la Peira,751,2
Can Peguera,521,1
Can Peguera,457,2
Can Peguera,660,1
Can Peguera,577,2
la Guineueta,733,1
la Guineueta,652,2
la Guineueta,695,1
la Guineueta,648,2
la Guineueta,503,1
la Guineueta,403,2
la Guineueta,615,1
la Guineueta,523,2
la Guineueta,926,1
la Guineueta,745,2
la Guineueta,960,1
la Guineueta,862,2
la Guineueta,896,1
la Guineueta,676,2
la Guineueta,778,1
la Guineueta,710,2
la Guineueta,717,1
la Guineueta,614,2
la Guineueta,870,1
la Guineueta,750,2
la Guineueta,520,1
la Guineueta,471,2
Canyelles,646,1
Canyelles,531,2
Canyelles,848,1
Canyelles,794,2
Canyelles,602,1
Canyelles,545,2
Canyelles,560,1
Canyelles,507,2
Canyelles,928,1
Canyelles,852,2
les Roquetes,885,1
les Roquetes,911,2
les Roquetes,843,1
les Roquetes,805,2
les Roquetes,927,1
les Roquetes,865,2
les Roquetes,1028,1
les Roquetes,945,2
les Roquetes,823,1
les Roquetes,756,2
les Roquetes,775,1
les Roquetes,711,2
les Roquetes,902,1
les Roquetes,855,2
les Roquetes,653,1
les Roquetes,558,2
les Roquetes,937,1
les Roquetes,821,2
les Roquetes,803,1
les Roquetes,760,2
Verdun,1047,1
Verdun,882,2
Verdun,880,1
Verdun,740,2
Verdun,779,1
Verdun,668,2
Verdun,831,1
Verdun,732,2
Verdun,773,1
Verdun,674,2
Verdun,804,1
Verdun,757,2
Verdun,881,1
Verdun,810,2
Verdun,885,1
Verdun,722,2
la Prosperitat,702,1
la Prosperitat,617,2
la Prosperitat,629,1
la Prosperitat,518,2
la Prosperitat,750,1
la Prosperitat,718,2
la Prosperitat,919,1
la Prosperitat,795,2
la Prosperitat,671,1
la Prosperitat,586,2
la Prosperitat,684,1
la Prosperitat,597,2
la Prosperitat,661,1
la Prosperitat,580,2
la Prosperitat,643,1
la Prosperitat,566,2
la Prosperitat,646,1
la Prosperitat,557,2
la Prosperitat,524,1
la Prosperitat,473,2
la Prosperitat,648,1
la Prosperitat,628,2
la Prosperitat,768,1
la Prosperitat,695,2
la Prosperitat,557,1
la Prosperitat,511,2
la Prosperitat,809,1
la Prosperitat,735,2
la Prosperitat,732,1
la Prosperitat,630,2
la Prosperitat,667,1
la Prosperitat,600,2
la Prosperitat,767,1
la Prosperitat,698,2
la Prosperitat,706,1
la Prosperitat,591,2
la Prosperitat,925,1
la Prosperitat,823,2
la Prosperitat,874,1
la Prosperitat,668,2
la Trinitat Nova,848,1
la Trinitat Nova,832,2
la Trinitat Nova,658,1
la Trinitat Nova,602,2
la Trinitat Nova,794,1
la Trinitat Nova,690,2
la Trinitat Nova,645,1
la Trinitat Nova,617,2
la Trinitat Nova,1021,1
la Trinitat Nova,921,2
Torre Baro,977,1
Torre Baro,965,2
Torre Baro,485,1
Torre Baro,496,2
Ciutat Meridiana,1039,1
Ciutat Meridiana,1019,2
Ciutat Meridiana,897,1
Ciutat Meridiana,819,2
Ciutat Meridiana,883,1
Ciutat Meridiana,867,2
Ciutat Meridiana,927,1
Ciutat Meridiana,873,2
Ciutat Meridiana,1043,1
Ciutat Meridiana,1006,2
Ciutat Meridiana,899,1
Ciutat Meridiana,880,2
Vallbona,716,1
Vallbona,685,2
la Trinitat Vella,1319,1
la Trinitat Vella,1452,2
la Trinitat Vella,1089,1
la Trinitat Vella,1075,2
la Trinitat Vella,1053,1
la Trinitat Vella,1144,2
la Trinitat Vella,868,1
la Trinitat Vella,853,2
la Trinitat Vella,833,1
la Trinitat Vella,827,2
Baro de Viver,642,1
Baro de Viver,635,2
Baro de Viver,713,1
Baro de Viver,663,2
el Bon Pastor,925,1
el Bon Pastor,941,2
el Bon Pastor,749,1
el Bon Pastor,693,2
el Bon Pastor,941,1
el Bon Pastor,863,2
el Bon Pastor,878,1
el Bon Pastor,847,2
el Bon Pastor,1072,1
el Bon Pastor,969,2
el Bon Pastor,1349,1
el Bon Pastor,1659,2
el Bon Pastor,956,1
el Bon Pastor,888,2
Sant Andreu,714,1
Sant Andreu,622,2
Sant Andreu,793,1
Sant Andreu,734,2
Sant Andreu,777,1
Sant Andreu,715,2
Sant Andreu,1388,1
Sant Andreu,1321,2
Sant Andreu,626,1
Sant Andreu,527,2
Sant Andreu,722,1
Sant Andreu,656,2
Sant Andreu,666,1
Sant Andreu,612,2
Sant Andreu,626,1
Sant Andreu,614,2
Sant Andreu,660,1
Sant Andreu,517,2
Sant Andreu,656,1
Sant Andreu,550,2
Sant Andreu,800,1
Sant Andreu,724,2
Sant Andreu,676,1
Sant Andreu,625,2
Sant Andreu,822,1
Sant Andreu,777,2
Sant Andreu,586,1
Sant Andreu,530,2
Sant Andreu,775,1
Sant Andreu,676,2
Sant Andreu,607,1
Sant Andreu,585,2
Sant Andreu,1175,1
Sant Andreu,1036,2
Sant Andreu,1668,1
Sant Andreu,1544,2
Sant Andreu,757,1
Sant Andreu,658,2
Sant Andreu,844,1
Sant Andreu,758,2
Sant Andreu,741,1
Sant Andreu,660,2
Sant Andreu,790,1
Sant Andreu,784,2
Sant Andreu,950,1
Sant Andreu,812,2
Sant Andreu,814,1
Sant Andreu,722,2
Sant Andreu,844,1
Sant Andreu,742,2
Sant Andreu,744,1
Sant Andreu,628,2
Sant Andreu,691,1
Sant Andreu,569,2
Sant Andreu,717,1
Sant Andreu,612,2
Sant Andreu,765,1
Sant Andreu,727,2
Sant Andreu,767,1
Sant Andreu,659,2
Sant Andreu,687,1
Sant Andreu,636,2
Sant Andreu,850,1
Sant Andreu,770,2
Sant Andreu,741,1
Sant Andreu,638,2
Sant Andreu,724,1
Sant Andreu,610,2
Sant Andreu,805,1
Sant Andreu,728,2
Sant Andreu,652,1
Sant Andreu,600,2
Sant Andreu,643,1
Sant Andreu,571,2
Sant Andreu,867,1
Sant Andreu,739,2
Sant Andreu,597,1
Sant Andreu,510,2
la Sagrera,915,1
la Sagrera,825,2
la Sagrera,606,1
la Sagrera,551,2
la Sagrera,865,1
la Sagrera,791,2
la Sagrera,824,1
la Sagrera,698,2
la Sagrera,722,1
la Sagrera,675,2
la Sagrera,729,1
la Sagrera,611,2
la Sagrera,675,1
la Sagrera,591,2
la Sagrera,854,1
la Sagrera,789,2
la Sagrera,712,1
la Sagrera,647,2
la Sagrera,607,1
la Sagrera,558,2
la Sagrera,612,1
la Sagrera,551,2
la Sagrera,1121,1
la Sagrera,970,2
la Sagrera,762,1
la Sagrera,681,2
la Sagrera,837,1
la Sagrera,697,2
la Sagrera,805,1
la Sagrera,748,2
la Sagrera,503,1
la Sagrera,410,2
la Sagrera,954,1
la Sagrera,778,2
la Sagrera,1040,1
la Sagrera,880,2
la Sagrera,788,1
la Sagrera,673,2
la Sagrera,792,1
la Sagrera,721,2
el Congres i els Indians,897,1
el Congres i els Indians,781,2
el Congres i els Indians,808,1
el Congres i els Indians,758,2
el Congres i els Indians,803,1
el Congres i els Indians,666,2
el Congres i els Indians,897,1
el Congres i els Indians,738,2
el Congres i els Indians,772,1
el Congres i els Indians,671,2
el Congres i els Indians,863,1
el Congres i els Indians,781,2
el Congres i els Indians,706,1
el Congres i els Indians,640,2
el Congres i els Indians,928,1
el Congres i els Indians,810,2
el Congres i els Indians,1072,1
el Congres i els Indians,958,2
Navas,840,1
Navas,754,2
Navas,920,1
Navas,829,2
Navas,974,1
Navas,839,2
Navas,789,1
Navas,663,2
Navas,679,1
Navas,622,2
Navas,1059,1
Navas,850,2
Navas,834,1
Navas,693,2
Navas,866,1
Navas,741,2
Navas,1016,1
Navas,884,2
Navas,1008,1
Navas,925,2
Navas,703,1
Navas,603,2
Navas,1075,1
Navas,978,2
Navas,1125,1
Navas,1030,2
el Camp de l'Arpa del Clot,832,1
el Camp de l'Arpa del Clot,794,2
el Camp de l'Arpa del Clot,919,1
el Camp de l'Arpa del Clot,856,2
el Camp de l'Arpa del Clot,825,1
el Camp de l'Arpa del Clot,749,2
el Camp de l'Arpa del Clot,871,1
el Camp de l'Arpa del Clot,709,2
el Camp de l'Arpa del Clot,924,1
el Camp de l'Arpa del Clot,751,2
el Camp de l'Arpa del Clot,988,1
el Camp de l'Arpa del Clot,874,2
el Camp de l'Arpa del Clot,682,1
el Camp de l'Arpa del Clot,641,2
el Camp de l'Arpa del Clot,953,1
el Camp de l'Arpa del Clot,806,2
el Camp de l'Arpa del Clot,852,1
el Camp de l'Arpa del Clot,765,2
el Camp de l'Arpa del Clot,929,1
el Camp de l'Arpa del Clot,816,2
el Camp de l'Arpa del Clot,639,1
el Camp de l'Arpa del Clot,549,2
el Camp de l'Arpa del Clot,960,1
el Camp de l'Arpa del Clot,863,2
el Camp de l'Arpa del Clot,769,1
el Camp de l'Arpa del Clot,637,2
el Camp de l'Arpa del Clot,816,1
el Camp de l'Arpa del Clot,712,2
el Camp de l'Arpa del Clot,1000,1
el Camp de l'Arpa del Clot,934,2
el Camp de l'Arpa del Clot,632,1
el Camp de l'Arpa del Clot,601,2
el Camp de l'Arpa del Clot,916,1
el Camp de l'Arpa del Clot,766,2
el Camp de l'Arpa del Clot,781,1
el Camp de l'Arpa del Clot,693,2
el Camp de l'Arpa del Clot,839,1
el Camp de l'Arpa del Clot,732,2
el Camp de l'Arpa del Clot,778,1
el Camp de l'Arpa del Clot,704,2
el Camp de l'Arpa del Clot,708,1
el Camp de l'Arpa del Clot,661,2
el Camp de l'Arpa del Clot,736,1
el Camp de l'Arpa del Clot,628,2
el Camp de l'Arpa del Clot,784,1
el Camp de l'Arpa del Clot,651,2
el Camp de l'Arpa del Clot,742,1
el Camp de l'Arpa del Clot,711,2
el Camp de l'Arpa del Clot,746,1
el Camp de l'Arpa del Clot,614,2
el Clot,799,1
el Clot,728,2
el Clot,792,1
el Clot,690,2
el Clot,928,1
el Clot,884,2
el Clot,737,1
el Clot,683,2
el Clot,932,1
el Clot,819,2
el Clot,785,1
el Clot,752,2
el Clot,710,1
el Clot,673,2
el Clot,475,1
el Clot,381,2
el Clot,904,1
el Clot,817,2
el Clot,1009,1
el Clot,975,2
el Clot,720,1
el Clot,712,2
el Clot,545,1
el Clot,498,2
el Clot,992,1
el Clot,837,2
el Clot,840,1
el Clot,761,2
el Clot,984,1
el Clot,893,2
el Clot,933,1
el Clot,895,2
el Clot,871,1
el Clot,805,2
el Parc i la Llacuna del Poblenou,1591,1
el Parc i la Llacuna del Poblenou,1474,2
el Parc i la Llacuna del Poblenou,1217,1
el Parc i la Llacuna del Poblenou,1205,2
el Parc i la Llacuna del Poblenou,816,1
el Parc i la Llacuna del Poblenou,731,2
el Parc i la Llacuna del Poblenou,683,1
el Parc i la Llacuna del Poblenou,638,2
el Parc i la Llacuna del Poblenou,647,1
el Parc i la Llacuna del Poblenou,575,2
el Parc i la Llacuna del Poblenou,912,1
el Parc i la Llacuna del Poblenou,854,2
el Parc i la Llacuna del Poblenou,854,1
el Parc i la Llacuna del Poblenou,823,2
el Parc i la Llacuna del Poblenou,661,1
el Parc i la Llacuna del Poblenou,660,2
el Parc i la Llacuna del Poblenou,838,1
el Parc i la Llacuna del Poblenou,735,2
la Vila Olimpica del Poblenou,839,1
la Vila Olimpica del Poblenou,791,2
la Vila Olimpica del Poblenou,1224,1
la Vila Olimpica del Poblenou,1217,2
la Vila Olimpica del Poblenou,888,1
la Vila Olimpica del Poblenou,854,2
la Vila Olimpica del Poblenou,498,1
la Vila Olimpica del Poblenou,460,2
la Vila Olimpica del Poblenou,1331,1
la Vila Olimpica del Poblenou,1293,2
el Poblenou,971,1
el Poblenou,955,2
el Poblenou,734,1
el Poblenou,718,2
el Poblenou,572,1
el Poblenou,566,2
el Poblenou,928,1
el Poblenou,852,2
el Poblenou,837,1
el Poblenou,841,2
el Poblenou,920,1
el Poblenou,841,2
el Poblenou,785,1
el Poblenou,748,2
el Poblenou,601,1
el Poblenou,572,2
el Poblenou,897,1
el Poblenou,805,2
el Poblenou,818,1
el Poblenou,759,2
el Poblenou,1069,1
el Poblenou,1035,2
el Poblenou,986,1
el Poblenou,909,2
el Poblenou,849,1
el Poblenou,827,2
el Poblenou,1441,1
el Poblenou,1330,2
el Poblenou,876,1
el Poblenou,787,2
el Poblenou,946,1
el Poblenou,895,2
el Poblenou,1019,1
el Poblenou,1002,2
el Poblenou,764,1
el Poblenou,711,2
el Poblenou,858,1
el Poblenou,809,2
el Poblenou,804,1
el Poblenou,774,2
Diagonal Mar i el Front Maritim del Poblenou,1147,1
Diagonal Mar i el Front Maritim del Poblenou,1105,2
Diagonal Mar i el Front Maritim del Poblenou,705,1
Diagonal Mar i el Front Maritim del Poblenou,624,2
Diagonal Mar i el Front Maritim del Poblenou,864,1
Diagonal Mar i el Front Maritim del Poblenou,753,2
Diagonal Mar i el Front Maritim del Poblenou,932,1
Diagonal Mar i el Front Maritim del Poblenou,938,2
Diagonal Mar i el Front Maritim del Poblenou,1240,1
Diagonal Mar i el Front Maritim del Poblenou,1202,2
Diagonal Mar i el Front Maritim del Poblenou,912,1
Diagonal Mar i el Front Maritim del Poblenou,844,2
Diagonal Mar i el Front Maritim del Poblenou,1138,1
Diagonal Mar i el Front Maritim del Poblenou,1132,2
el Besos i el Maresme,1063,1
el Besos i el Maresme,1081,2
el Besos i el Maresme,941,1
el Besos i el Maresme,1028,2
el Besos i el Maresme,995,1
el Besos i el Maresme,1302,2
el Besos i el Maresme,831,1
el Besos i el Maresme,841,2
el Besos i el Maresme,1032,1
el Besos i el Maresme,1088,2
el Besos i el Maresme,982,1
el Besos i el Maresme,1007,2
el Besos i el Maresme,946,1
el Besos i el Maresme,933,2
el Besos i el Maresme,847,1
el Besos i el Maresme,827,2
el Besos i el Maresme,1682,1
el Besos i el Maresme,2670,2
el Besos i el Maresme,791,1
el Besos i el Maresme,723,2
el Besos i el Maresme,1013,1
el Besos i el Maresme,984,2
el Besos i el Maresme,778,1
el Besos i el Maresme,681,2
el Besos i el Maresme,539,1
el Besos i el Maresme,511,2
Provençals del Poblenou,1517,1
Provençals del Poblenou,1542,2
Provençals del Poblenou,656,1
Provençals del Poblenou,635,2
Provençals del Poblenou,868,1
Provençals del Poblenou,765,2
Provençals del Poblenou,842,1
Provençals del Poblenou,739,2
Provençals del Poblenou,938,1
Provençals del Poblenou,840,2
Provençals del Poblenou,618,1
Provençals del Poblenou,535,2
Provençals del Poblenou,904,1
Provençals del Poblenou,803,2
Provençals del Poblenou,827,1
Provençals del Poblenou,862,2
Provençals del Poblenou,1372,1
Provençals del Poblenou,1231,2
Provençals del Poblenou,1140,1
Provençals del Poblenou,1036,2
Provençals del Poblenou,843,1
Provençals del Poblenou,748,2
Provençals del Poblenou,511,1
Provençals del Poblenou,413,2
Sant Marti de Provençals,1182,1
Sant Marti de Provençals,1013,2
Sant Marti de Provençals,544,1
Sant Marti de Provençals,473,2
Sant Marti de Provençals,788,1
Sant Marti de Provençals,742,2
Sant Marti de Provençals,715,1
Sant Marti de Provençals,597,2
Sant Marti de Provençals,880,1
Sant Marti de Provençals,788,2
Sant Marti de Provençals,943,1
Sant Marti de Provençals,771,2
Sant Marti de Provençals,689,1
Sant Marti de Provençals,626,2
Sant Marti de Provençals,804,1
Sant Marti de Provençals,733,2
Sant Marti de Provençals,614,1
Sant Marti de Provençals,570,2
Sant Marti de Provençals,778,1
Sant Marti de Provençals,722,2
Sant Marti de Provençals,740,1
Sant Marti de Provençals,668,2
Sant Marti de Provençals,1017,1
Sant Marti de Provençals,857,2
Sant Marti de Provençals,680,1
Sant Marti de Provençals,594,2
Sant Marti de Provençals,524,1
Sant Marti de Provençals,470,2
Sant Marti de Provençals,619,1
Sant Marti de Provençals,538,2
Sant Marti de Provençals,807,1
Sant Marti de Provençals,658,2
Sant Marti de Provençals,850,1
Sant Marti de Provençals,745,2
Sant Marti de Provençals,784,1
Sant Marti de Provençals,706,2
la Verneda i la Pau,695,1
la Verneda i la Pau,654,2
la Verneda i la Pau,577,1
la Verneda i la Pau,533,2
la Verneda i la Pau,568,1
la Verneda i la Pau,522,2
la Verneda i la Pau,529,1
la Verneda i la Pau,476,2
la Verneda i la Pau,512,1
la Verneda i la Pau,505,2
la Verneda i la Pau,855,1
la Verneda i la Pau,731,2
la Verneda i la Pau,599,1
la Verneda i la Pau,558,2
la Verneda i la Pau,626,1
la Verneda i la Pau,576,2
la Verneda i la Pau,594,1
la Verneda i la Pau,520,2
la Verneda i la Pau,680,1
la Verneda i la Pau,580,2
la Verneda i la Pau,902,1
la Verneda i la Pau,807,2
la Verneda i la Pau,877,1
la Verneda i la Pau,682,2
la Verneda i la Pau,649,1
la Verneda i la Pau,589,2
la Verneda i la Pau,728,1
la Verneda i la Pau,642,2
la Verneda i la Pau,821,1
la Verneda i la Pau,762,2
la Verneda i la Pau,852,1
la Verneda i la Pau,747,2
la Verneda i la Pau,897,1
la Verneda i la Pau,816,2
la Verneda i la Pau,861,1
la Verneda i la Pau,810,2
la Verneda i la Pau,585,1
la Verneda i la Pau,532,2
la Verneda i la Pau,842,1
la Verneda i la Pau,780,2
la Verneda i la Pau,911,1
la Verneda i la Pau,816,2
